模型名称,青铜,白银,黄金
Skylark-Chat,5.3%,14.2%,39.8%
ABAB 5.5,8.8%,15.0%,42.5%
ABAB 6.0,3.5%,17.7%,31.0%
Skylark-Lite,5.3%,21.2%,49.6%
ERNIE 3.5,9.7%,31.0%,68.1%
KimiChat,10.6%,35.4%,72.6%
紫东太初,15.9%,38.1%,58.4%
ERNIE 4.0,8.0%,40.7%,71.7%
星火3.5,11.5%,44.2%,61.9%
孟子GPT,17.7%,50.4%,46.9%
Qwen-Max,9.7%,54.0%,76.1%
Baichuan2-Turbo,3.5%,54.9%,59.3%
SenseChat,13.3%,59.3%,58.4%
360GPT-pro,13.3%,64.6%,89.4%
Qwen-Turbo,15.0%,65.5%,90.3%
GLM35,31.9%,66.4%,80.5%
SkyChat-MegaVerse,25.7%,70.8%,84.1%
Qwen-Plus,15.0%,73.5%,93.8%
Yi-34B-chat-0205,53.1%,81.4%,92.0%
GLM4,44.2%,85.0%,92.9%
